
for bug 384667 .....................................................................Srikanth Sankaran Recommendation  Score: 44980.33681985041
Ayushman Jain Recommendation  Score: 39346.95340965754
Markus Keller Recommendation  Score: 29857.555662486124
Deepak Azad Recommendation  Score: 19908.192261886637
Dani Megert Recommendation  Score: 18050.73129291433
Olivier Thomann Recommendation  Score: 14138.925818811786
Satyam Kandula Recommendation  Score: 10185.001764430262
Frederic Fusier Recommendation  Score: 4166.705956043027
Raksha Vasisht Recommendation  Score: 2845.755295845238
Michael Rennie Recommendation  Score: 1752.4360358285164
Remy Suen Recommendation  Score: 1628.131519170196
Kent Johnson Recommendation  Score: 1255.268265766988
David Audel Recommendation  Score: 853.1565974509867
Walter Harley Recommendation  Score: 612.8904055347133
Darin Wright Recommendation  Score: 550.1631481156054
Rajesh Recommendation  Score: 479.27236348998764
Lars Vogel Recommendation  Score: 342.89243167306284
Kim Moir Recommendation  Score: 336.5401149447684
Andrew Eisenberg Recommendation  Score: 233.09061980006229
Pawel Piech Recommendation  Score: 124.70239773914913
Brian Miller Recommendation  Score: 59.26615869673394
Pradeep Balachandran Recommendation  Score: 43.633513226954335
Jacek Pospychala Recommendation  Score: 32.46590849685464
Chris Jester-Young Recommendation  Score: 18.469478357372537
Ulrich Hobelmann Recommendation  Score: 13.139303482587286
pniederw Recommendation  Score: 10.435064935064137
Wassim Melhem Recommendation  Score: 7.9816441587301314
Graeme Vetterlein Recommendation  Score: 6.985209531633709
Lilian Recommendation  Score: 4.45840867992794
Dave Jenkins Recommendation  Score: 3.5284751779697983
Randy Rohrbach Recommendation  Score: 2.2316205533596714

top n is: 1
recall 1

for bug 379630 .....................................................................Ayushman Jain Recommendation  Score: 41682.566302231855
Srikanth Sankaran Recommendation  Score: 36748.26541494617
Dani Megert Recommendation  Score: 36356.41630217493
Markus Keller Recommendation  Score: 33491.906287112244
Satyam Kandula Recommendation  Score: 29168.091874622165
Michael Rennie Recommendation  Score: 18465.24972137086
Olivier Thomann Recommendation  Score: 16372.235295569575
Deepak Azad Recommendation  Score: 15341.8793713262
Frederic Fusier Recommendation  Score: 4451.657322142497
Raksha Vasisht Recommendation  Score: 3249.880357060458
Remy Suen Recommendation  Score: 1890.7574776369008
Kent Johnson Recommendation  Score: 1320.339907807869
David Audel Recommendation  Score: 895.0008656933231
Darin Wright Recommendation  Score: 589.0597452820134
Rajesh Recommendation  Score: 529.7706939202977
Kim Moir Recommendation  Score: 380.2540982576275
Lars Vogel Recommendation  Score: 321.571581464165
Walter Harley Recommendation  Score: 292.20459700098337
Andrew Eisenberg Recommendation  Score: 209.27926387789628
Pawel Piech Recommendation  Score: 157.4248065868301
Brian Miller Recommendation  Score: 62.615212069926415
Pradeep Balachandran Recommendation  Score: 45.83872999582737
Jacek Pospychala Recommendation  Score: 34.158286405745805
Chris Jester-Young Recommendation  Score: 19.646989374254783
Ulrich Hobelmann Recommendation  Score: 15.221902017292509
pniederw Recommendation  Score: 11.095512082855105
Wassim Melhem Recommendation  Score: 8.35882732258953
Graeme Vetterlein Recommendation  Score: 7.315834767642664
Lilian Recommendation  Score: 4.691722169362616
Dave Jenkins Recommendation  Score: 3.788946724538303
Randy Rohrbach Recommendation  Score: 2.333057851239608

top n is: 1
recall : 1
GT : 5

for bug 370971 .....................................................................Dani Megert Recommendation  Score: 52854.23382094954
Ayushman Jain Recommendation  Score: 50261.317155160024
Srikanth Sankaran Recommendation  Score: 46050.74384912761
Markus Keller Recommendation  Score: 28948.431293721464
Satyam Kandula Recommendation  Score: 27770.93299199357
Deepak Azad Recommendation  Score: 23638.798319719324
Olivier Thomann Recommendation  Score: 21059.845863380764                                                    
Frederic Fusier Recommendation  Score: 5075.5184928854105
Andrew Eisenberg Recommendation  Score: 4934.610703740412
Raksha Vasisht Recommendation  Score: 4673.0508028334625
Michael Rennie Recommendation  Score: 3394.8665911597623
Remy Suen Recommendation  Score: 2950.418333504299
Kent Johnson Recommendation  Score: 1454.1848952566504
David Audel Recommendation  Score: 979.7899924405383
Pawel Piech Recommendation  Score: 896.4817300658805
Darin Wright Recommendation  Score: 710.7295196191942
Rajesh Recommendation  Score: 652.1332219856822
Kim Moir Recommendation  Score: 529.810559682486
Lars Vogel Recommendation  Score: 500.5296644205733
Walter Harley Recommendation  Score: 356.28567375517406
Brian Miller Recommendation  Score: 69.63065092113864
Pradeep Balachandran Recommendation  Score: 50.32434334043192
Jacek Pospychala Recommendation  Score: 37.64130634430809
